model,MAE,RMSE,R2,mean_pred,mean_true
FractionalLogit,0.10012509733710996,0.12618026814131839,0.7236189595280347,0.4417184754208719,0.43931660071448203
OLS-logit,0.1051467600331259,0.13553665503541296,0.6811114820490392,0.4280769687399793,0.43931660071448203
XGBoost,0.10382406502357823,0.13222775460094183,0.696491679336817,0.41421443223953247,0.43931660071448203
